Keyword,lang,Text
^G-T1-(\d+),en,Identification Template 1.%u
^G-T1-(\d+),ja,識別テンプレート1.%u
OctetNo,en,Octet No
OctetNo,ja,オクテット番号
OctetCount,en,Octet Count
OctetCount,ja,オクテット数
Contents_en,en,Contents
Contents_en,ja,内容
Note_en,en,Note
Note_en,ja,注
^G-T3-(\d+),en,Grid Definition Template 3.%u
^G-T3-(\d+),ja,格子系定義テンプレート3.%u
^G-T4-(\d+),en,Product Definition Template 4.%u
^G-T4-(\d+),ja,プロダクト定義テンプレート4.%u
^G-T5-(\d+),en,Data Representation Template 5.%u
^G-T5-(\d+),ja,資料表現テンプレート5.%u
^G-T7-(\d+),en,Data Template 7.%u
^G-T7-(\d+),ja,資料テンプレート7.%u
^G-CF(\d)-(\d+)-C,en,Code Table %u.%u
^G-CF(\d)-(\d+)-C,ja,符号表%u.%u
^G-CF(\d)-(\d+)-F,en,Flag Table %u.%u
^G-CF(\d)-(\d+)-F,ja,フラグ表%u.%u
^G-C42-(\d+)-(\d+),en,Code Table 4.2
^G-C42-(\d+)-(\d+),ja,符号表4.2
CodeFlag,en,Code/Bit
CodeFlag,ja,符号/ビット
Value,en,Value
Value,ja,値
MeaningParameterDescription_en,en,Meaning
MeaningParameterDescription_en,ja,意味
UnitComments_en,en,Units
UnitComments_en,ja,単位
^B-A,en,BUFR Table A
^B-A,ja,BUFR表A
CodeFigure,en,Code Figure
CodeFigure,ja,数字符号
Meaning_en,en,Meaning
Meaning_en,ja,意味
^BC-B(\d+),en,BUFR/CREX Table B - Class %u
^BC-B(\d+),ja,BUFR/CREX表B、クラス%u
FXY,en,FXY
FXY,ja,FXY
ElementName_en,en,Element Name
ElementName_en,ja,要素名
BUFR_Unit,en,BUFR Unit
BUFR_Unit,ja,BUFR 単位
BUFR_Scale,en,BUFR Scale
BUFR_Scale,ja,BUFR 尺度
BUFR_ReferenceValue,en,BUFR Ref Value
BUFR_ReferenceValue,ja,BUFR 参照値
BUFR_DataWidth_Bits,en,BUFR Data Width Bits
BUFR_DataWidth_Bits,ja,BUFR 資料幅 ビット
